ticker,p1_date,p1_price,low1_date,low1_price,p2_date,p2_price,low2_date,low2_price,y_shape,y_breakout,y_reachtarget
ADSK,2025-02-28,279.42,2025-03-13,251.85,2025-03-26,271.71,2025-04-07,237.63,1,1,1
AEO,2024-07-31,22.48,2024-08-05,18.79,2024-08-27,22.7,2024-09-09,18.84,0,0,0
AMC,2025-05-30,3.56,2025-07-01,2.82,2025-07-21,3.56,2025-08-06,2.78,0,0,0
AMD,2025-02-20,114.17,2025-03-04,96,2025-03-25,114.81,2025-04-08,78.21,1,1,1
AMGN,2025-02-06,309.49,2025-02-11,290.56,2025-02-25,315.63,2025-02-27,305.3,0,0,0
ASML,2024-07-17,978.58,2025-08-05,775,2024-08-21,845.05,2024-09-09,764.08,0,0,0
AVGO,2024-07-11,176.47,2024-08-05,129.61,2024-08-22,170.84,2024-09-06,137,1,1,0
B,2024-08-26,20.7,2024-09-06,19,2024-09-26,21.01,2024-10-09,19.52,0,0,0
BMO,2024-07-29,87.5,2024-08-05,77.56,2024-08-26,88.77,2024-08-28,81.88,0,0,0
BRK.B,2025-06-25,494.5,2024-07-15,470.13,2025-07-28,486.9,2025-08-04,459.11,1,1,1
C,2024-04-01,63.6,2024-04-16,57.02,2024-05-21,64.74,2024-06-11,59.14,0,0,0
CAT,2024-11-06,416.88,2024-11-19,378.03,2024-11-27,408.4,2025-01-10,351,0,0,0
COF,2025-03-04,192.06,2025-03-10,163.87,2025-03-26,184.84,2025-04-07,144.94,1,1,1
CRWD,2025-02-27,401.64,2025-03-10,308.86,2025-03-25,384.95,2025-04-07,300.06,1,1,1
D,2023-08-29,49.56,2023-09-06,45.95,2023-09-18,48.63,2023-10-06,40.52,0,0,0
DECK,2024-08-30,159.88,2024-09-06,143.33,2024-09-18,160.45,2024-09-20,147.98,0,0,0
DELL,2024-03-01,124.66,2024-03-14,106.45,2024-04-08,132.95,2024-04-19,114.87,0,0,0
DUK,2024-10-21,121.05,2024-11-15,109.47,2024-11-27,117.68,2024-12-18,105.76,1,1,1
DUOL,2024-06-18,213.97,2024-08-05,145.84,2024-08-26,212.7,2024-09-04,202.44,0,0,0
GME,2024-07-16,28.54,2024-08-05,18.83,2025-08-19,22.66,2025-08-28,19.9,0,0,0
HOOD,2025-03-05,48.12,2025-03-10,35.63,2025-03-25,48.75,2025-04-07,30.67,1,1,1
JPM,2025-02-28,264.65,2025-03-13,225.19,2025-03-26,252.6,2025-04-07,205.77,1,1,1
KLG,2024-06-26,16.96,2024-07-10,15.49,2024-07-17,16.56,2024-07-19,15.93,0,0,0
KO,2025-03-03,72.32,2025-03-14,68.51,2025-04-03,73.18,2025-04-07,66.23,0,0,0
LYV,2023-10-09,87.76,2023-10-27,77,2023-11-20,89.82,2023-12-05,81.41,0,0,0
MCD,2023-08-25,284.76,2023-09-06,275.44,2023-09-14,284.76,2023-10-12,246.19,0,0,0
MDB,2021-12-21,563.33,2022-01-27,351.51,2022-02-11,450.72,2022-03-08,280.04,1,1,0
MRK,2024-09-06,119.1,2024-09-09,113.15,2024-09-17,118.97,2024-09-26,113.09,0,0,0
MRNA,2025-01-28,44.94,2025-02-14,30.53,2025-02-20,36.23,2025-03-04,29.77,0,0,0
MS,2025-03-03,133.33,2025-03-10,111.69,2025-03-26,125.77,2025-04-07,96.27,1,1,1
MU,2024-07-24,111.47,2024-08-07,86.8,2024-08-20,108.95,2024-09-09,86.27,1,0,0
NFLX,2025-02-18,1062,2025-03-10,866.68,2025-03-25,997.28,2025-04-07,827.85,1,1,1
NKE,2024-12-11,78.85,2025-01-17,70.84,2025-01-30,78.33,2025-02-07,70.56,1,0,0
NVDA,2024-07-11,135.75,2024-08-07,98.91,2024-08-22,130.02,2024-09-06,102.83,1,1,1
ORCL,2025-04-02,145.86,2025-04-07,118.86,2025-04-09,139.69,2025-04-21,122.82,1,1,1
PLTR,2025-02-21,107.68,2025-03-11,75.79,2025-03-25,97.22,2025-04-07,66.65,1,1,1
PTON,2024-02-12,4.81,2024-02-23,4.26,2024-02-29,4.74,2024-03-05,4.26,0,0,0
RBLX,2025-03-03,64.4,2025-03-11,53.46,2025-03-25,62.01,2025-04-07,50.51,1,1,1
RDDT,2025-03-25,125.43,2025-04-07,81.01,2025-05-01,125.64,2025-05-23,95.83,1,1,1
RKLB,2025-05-28,29.91,2025-06-02,26.5,2025-06-09,30,2025-06-13,25.41,1,1,1
SNOW,2023-09-11,170.17,2023-09-28,145.52,2023-10-11,163.92,2023-10-26,140.84,1,1,1
SPOT,2025-02-13,648.32,2025-03-10,489.24,2025-03-25,615.88,2025-04-07,477.51,1,1,1
TJX,2024-12-11,127.31,2025-01-15,119.11,2025-02-14,126.55,2025-03-13,112.81,1,1,1
TSLA,2023-02-28,210.59,2023-03-13,167.46,2025-03-31,207.46,2025-04-27,152.64,1,1,1
TSM,2024-10-18,205.95,2024-10-31,190.54,2024-11-08,203.89,2024-11-27,181.19,0,0,0
TT,2024-06-18,345.38,2024-07-01,321.36,2024-07-16,346.32,2025-07-25,322.22,0,0,0
V,2025-06-13,361.51,2025-06-23,337.5,2025-07-07,358.92,2025-07-15,347.02,1,0,0
VC,2025-02-20,90.68,2025-03-04,81.61,2025-03-07,87.68,2025-03-20,79.95,1,0,0
W,2024-07-16,57.23,2024-08-12,38.21,2024-10-9,57.12,2024-11-12,37.59,1,0,0
WBD,2024-07-31,8.8,2024-08-13,6.67,2024-08-26,8.23,2024-09-11,6.94,1,1,0
Z,2023-12-27,59.47,2024-01-17,51.44,2024-01-30,58.54,2024-02-13,53,1,0,0
ZD,2025-05-12,34.7,2025-05-23,30,2025-06-11,34.46,2025-07-01,30,1,0,0
ZS,2025-02-18,216.87,2025-03-04,187.15,2025-03-25,215.73,2025-04-07,166.88,1,1,1